_id,version,code,district_type_kh,district_type_en,name_en,reference,issued_date,prefix,name,city_provinces,createdAt,updatedAt,__v,note
2505,1,2505,ស្រុក,District,Ponhea Kraek,Royal Degree 1445,2013-12-30T17:00:00.000+0000,202,ពញាក្រែក,25,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
1101,1,1101,ស្រុក,District,Kaev Seima,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កែវសីមា,11,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
2106,1,2106,ស្រុក,District,Prey Kabbas,លេខ ៤៩៣ ប្រ.ក,2001-03-31T17:00:00.000+0000,202,ព្រៃកប្បាស,21,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
1405,1,1405,ស្រុក,District,Me Sang,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,មេសាង,14,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
1304,1,1304,ស្រុក,District,Kuleaen,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,គូលែន,13,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
1710,1,1710,ក្រុង,Municipality,Siem Reap,អនុក្រឹតលេខ ១៣ អនក្រ.បក,2009-01-08T17:00:00.000+0000,201,សៀមរាប,17,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,កាលពីមុនជាស្រុកសៀមរាបតាមប្រកាសលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១​ របស់ក្រសួងមហាផ្ទៃ បច្ចុន្បន្នជាក្រុងសៀមរាបតាមអនុក្រឹតលេខ ១៣ អនក្រ.បក ចុះថ្ងៃទី០៩ ខែមករា ឆ្នាំ២០០៩។
604,1,604,ស្រុក,District,Prasat Ballangk,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ប្រាសាទបល្ល័ង្គ,6,2020-09-07 01:59:43.401,2020-09-07 01:59:43.401,0,
810,1,810,ស្រុក,District,S'ang,លេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ស្អាង,8,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
608,1,608,ស្រុក,District,Stoung,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ស្ទោង,6,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
405,1,405,ស្រុក,District,Kampong Tralach,ប្រកាសលេខ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កំពង់ត្រឡាច,4,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
110,1,110,ក្រុង,Municipality,Paoy Paet,អនុក្រឹត្យលេខ ២៣២អនក្រ.បក,2008-12-29T17:00:00.000+0000,201,ប៉ោយប៉ែត,1,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,អនុក្រឹត្យលេខ ២៣២អនក្រ.បក ស្តីពីការបង្កើត ក្រុងប៉ោយប៉ែត នៃខេត្តបន្ទាយមានជ័យ
1005,1,1005,ស្រុក,District,Snuol,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ស្នួល,10,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1801,1,1801,ក្រុង,Municipality,Preah Sihanouk,អនុក្រឹត្យលេខ ០៧ អនក្រ.បក,2009-01-08T17:00:00.000+0000,201,ព្រះសីហនុ,18,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,ត្រួវបានប្តូរឈ្មោះខណ្ឌមិត្តភាព ទៅជាក្រុងព្រះសីហនុ
1004,1,1004,ស្រុក,District,Sambour,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សំបូរ,10,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1212,1,1212,ខណ្ឌ,Khan,Chbar Ampov,អនុក្រឹត្យលេខ៥៧៩ អនក្រ.បក,2013-12-24T17:00:00.000+0000,203,ច្បារអំពៅ,12,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,អនុក្រឹត្យស្តីពីការបង្កើតខណ្ឌថ្មី
1602,1,1602,ក្រុង,Municipality,Ban Lung,អនុក្រឹត្យលេខ ២២៧ អនក្រ.បក,2008-12-29T17:00:00.000+0000,201,បានលុង,16,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1209,1,1209,ខណ្ឌ,Khan,Pur SenChey,អនុក្រិតលេខ៨០,2011-05-17T17:00:00.000+0000,203,ពោធិ៍សែនជ័យ,12,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,បង្កើតខណ្ឌថ្មី
1102,1,1102,ស្រុក,District,Kaoh Nheaek,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កោះញែក,11,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,
707,1,707,ស្រុក,District,Tuek Chhou,អនុក្រឹត្យលេខ​ ២២១ អនក្រ.បក,2008-12-29T17:00:00.000+0000,202,ទឹកឈូ,7,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,ត្រូវបានប្តូរឈ្មោះស្រុកកំពតទៅជាស្រុកទឹកឈូរ
1901,1,1901,ស្រុក,District,Sesan,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សេសាន,19,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
