_id,__v,createdAt,sequence,updatedAt,courses
60e277eacbbec8f807132f44,0,2021-07-05 03:09:30.216,15,2021-09-15 07:53:17.848,
60e27ac2cbbec8f807134d40,0,2021-07-05 03:21:38.968,1,2021-07-05 03:21:38.968,
60e27bd6cbbec8f807135856,0,2021-07-05 03:26:14.998,3,2021-07-07 23:13:21.895,
60e27ef2cbbec8f80713793f,0,2021-07-05 03:39:30.266,3,2021-07-05 04:07:26.545,
60e28176cbbec8f80713929b,0,2021-07-05 03:50:14.514,5,2021-07-07 00:32:00.932,
60e28778cbbec8f80713d641,0,2021-07-05 04:15:52.625,2,2021-07-05 04:15:52.793,
60e289b3cbbec8f80713ec46,0,2021-07-05 04:25:23.906,17,2021-08-19 07:23:27.806,
60e28e1fcbbec8f807141e07,0,2021-07-05 04:44:15.317,9,2021-08-17 13:43:56.639,
60e2917dcbbec8f807143f85,0,2021-07-05 04:58:37.009,12,2021-08-19 07:30:25.873,
60e2aa85cbbec8f807150833,0,2021-07-05 06:45:25.151,2,2021-07-05 06:45:25.681,
60e2b00ccbbec8f807153e1a,0,2021-07-05 07:09:00.366,16,2021-09-24 16:27:05.632,60da8506f7d0b570216f86b0
60e2b711cbbec8f807158ae2,0,2021-07-05 07:38:57.488,4,2021-07-06 05:52:32.507,
60e2d06ecbbec8f80716978f,0,2021-07-05 09:27:10.910,4,2021-09-13 09:26:08.059,
60e2d0aacbbec8f8071699a8,0,2021-07-05 09:28:10.927,1,2021-07-05 09:28:10.927,
60e3b1d9cbbec8f8071d3326,0,2021-07-06 01:28:57.448,1,2021-07-06 01:28:57.448,
60e3bb25cbbec8f8071d8d65,0,2021-07-06 02:08:37.372,1,2021-07-06 02:08:37.372,
60e3cac6cbbec8f8071e2dff,0,2021-07-06 03:15:18.373,1,2021-07-06 03:15:18.373,
60e3cfbccbbec8f8071e5f5a,0,2021-07-06 03:36:28.018,2,2021-07-06 03:36:41.320,
60e3cfc5cbbec8f8071e5fbd,0,2021-07-06 03:36:37.936,1,2021-07-06 03:36:37.936,
60e3d5b2cbbec8f8071e9c9e,0,2021-07-06 04:01:54.684,3,2021-07-07 00:32:07.256,
60e3efa6cbbec8f8071f7699,0,2021-07-06 05:52:38.470,3,2021-07-07 00:30:48.308,
60e3fcc1cbbec8f8071ff3ee,0,2021-07-06 06:48:33.325,1,2021-07-06 06:48:33.325,
60e3feaccbbec8f8072003fd,0,2021-07-06 06:56:44.106,13,2021-07-08 00:57:56.875,
60e40c1fcbbec8f807208688,0,2021-07-06 07:54:07.838,2,2021-07-07 06:37:19.890,
60e43518cbbec8f80721d74a,0,2021-07-06 10:48:56.749,9,2021-07-07 10:04:52.947,
60e43b28cbbec8f8072208ba,0,2021-07-06 11:14:48.864,7,2021-09-13 07:11:29.857,
60e43c4ccbbec8f807221389,0,2021-07-06 11:19:40.146,31,2021-09-26 02:28:46.653,
60e43c5fcbbec8f807221457,0,2021-07-06 11:19:59.493,5,2021-07-06 11:44:05.925,
60e44156cbbec8f807224132,0,2021-07-06 11:41:10.462,2,2021-07-06 11:41:10.914,
60e4434ecbbec8f8072256fa,0,2021-07-06 11:49:34.143,2,2021-07-06 11:49:34.365,
60e496e0cbbec8f807251e74,0,2021-07-06 17:46:08.253,1,2021-07-06 17:46:08.253,
60e497fccbbec8f807252951,0,2021-07-06 17:50:52.370,2,2021-08-29 15:25:28.769,
60e50005cbbec8f807285d10,0,2021-07-07 01:14:45.808,1,2021-07-07 01:14:45.808,
60e502accbbec8f8072876b6,0,2021-07-07 01:26:04.983,4,2021-07-09 01:10:28.392,
60e50bcccbbec8f80728dbda,0,2021-07-07 02:05:00.501,1,2021-07-07 02:05:00.501,
60e50d61cbbec8f80728ed9b,0,2021-07-07 02:11:45.578,4,2021-07-09 01:12:21.537,
60e51bf0cbbec8f807298554,0,2021-07-07 03:13:52.170,2,2021-07-08 01:46:26.351,
60e52ca7cbbec8f8072a1c10,0,2021-07-07 04:25:11.264,2,2021-08-28 00:32:53.774,
60e52fd7cbbec8f8072a3a85,0,2021-07-07 04:38:47.791,1,2021-07-07 04:38:47.791,
60e5303fcbbec8f8072a3e44,0,2021-07-07 04:40:31.052,1,2021-07-07 04:40:31.052,
60e5304ecbbec8f8072a3fd8,0,2021-07-07 04:40:46.709,1,2021-07-07 04:40:46.709,
60e53f53cbbec8f8072ac41f,0,2021-07-07 05:44:51.528,2,2021-07-07 05:44:51.743,
60e54065cbbec8f8072ad01e,0,2021-07-07 05:49:25.431,4,2021-07-07 05:50:36.112,
60e5423fcbbec8f8072ae4aa,0,2021-07-07 05:57:19.131,3,2021-08-05 07:09:48.767,60d5b814c5b314eb9cedf2b9
60e54253cbbec8f8072ae56b,0,2021-07-07 05:57:39.882,2,2021-07-07 05:57:40.105,
60e542abcbbec8f8072ae866,0,2021-07-07 05:59:07.305,5,2021-09-23 21:08:51.583,60d6aceea91f2bdf1d569ca5
60e5433dcbbec8f8072aee17,0,2021-07-07 06:01:33.204,6,2021-09-24 00:12:06.635,60d698b5706ccbe7c08f2fc9
60e54403cbbec8f8072af54e,0,2021-07-07 06:04:51.637,19,2021-09-23 23:00:36.856,60d4675c3d549f33ea084a66
60e5465bcbbec8f8072b0a62,0,2021-07-07 06:14:51.386,8,2021-09-23 20:16:35.940,60d58aa0e66a9ee5ab42f4ad
60e5515fcbbec8f8072b7bdb,0,2021-07-07 07:01:51.685,5,2021-07-12 12:52:57.344,
60e55ad1cbbec8f8072bdae9,0,2021-07-07 07:42:09.158,1,2021-07-07 07:42:09.158,
60e56d0dcbbec8f8072c88c2,0,2021-07-07 08:59:57.434,8,2021-07-10 05:15:57.468,
60e5b79bcbbec8f8072ef16d,0,2021-07-07 14:18:03.076,3,2021-09-24 05:54:29.452,60d09d3f706ccbe7c08c39eb
60e5b7a5cbbec8f8072ef1d8,0,2021-07-07 14:18:13.499,1,2021-07-07 14:18:13.499,
60e5c5f5cbbec8f8072f74be,0,2021-07-07 15:19:17.850,3,2021-07-08 06:26:51.471,
60e6118dcbbec8f80731aecb,0,2021-07-07 20:41:49.575,1,2021-07-07 20:41:49.575,
60e635d4cbbec8f80732bea2,0,2021-07-07 23:16:36.743,2,2021-08-30 07:09:36.664,
60e64002cbbec8f8073317fd,0,2021-07-08 00:00:02.779,1,2021-07-08 00:00:02.779,
60e64012cbbec8f807331878,0,2021-07-08 00:00:18.313,1,2021-07-08 00:00:18.313,
60e6404dcbbec8f807331b35,0,2021-07-08 00:01:17.452,3,2021-09-27 00:55:00.164,
60e64f0ccbbec8f807339999,0,2021-07-08 01:04:12.606,12,2021-08-29 03:01:48.007,
60e64f21cbbec8f807339a57,0,2021-07-08 01:04:33.519,4,2021-07-17 08:30:34.538,
60e64f36cbbec8f807339b2c,0,2021-07-08 01:04:54.178,4,2021-07-11 13:01:28.582,
60e64f49cbbec8f807339bd9,0,2021-07-08 01:05:13.563,4,2021-07-10 07:36:30.238,
60e64f55cbbec8f807339c98,0,2021-07-08 01:05:25.781,2,2021-07-08 01:05:26.088,
60e64f65cbbec8f807339de8,0,2021-07-08 01:05:41.077,2,2021-07-08 01:05:41.418,
