_id,bucket_name,filename,filename_video,original_id,status,message,createdAt,updatedAt,__v,creating_at,processing_at,finished_at
61332ffffde1b14a6b1eabd2,file_course_datas,61332ffac1ba18a2d63c2c80_1630744575251.m3u8,61332ffac1ba18a2d63c2c80_1630744575161.m3u8,61332ffac1ba18a2d63c2c80,Success,Finished generate thumbnails,2021-09-04 08:36:15.262,2021-09-04 08:36:57.169,0,2021-09-04 08:36:15.252,2021-09-04 08:36:17.322,2021-09-04 08:36:57.159
61333038d9ded13adc0902de,file_course_datas,61333037993f3698d1a0e84d_1630744632731.m3u8,61333037993f3698d1a0e84d_1630744632651.m3u8,61333037993f3698d1a0e84d,Success,Finished generate thumbnails,2021-09-04 08:37:12.741,2021-09-04 08:37:31.100,0,2021-09-04 08:37:12.733,2021-09-04 08:37:13.293,2021-09-04 08:37:31.092
613330714afd74f835558011,file_course_datas,6133306c5a8a059d18da053a_1630744689672.m3u8,6133306c5a8a059d18da053a_1630744689606.m3u8,6133306c5a8a059d18da053a,Success,Finished generate thumbnails,2021-09-04 08:38:09.683,2021-09-04 08:38:44.130,0,2021-09-04 08:38:09.673,2021-09-04 08:38:11.344,2021-09-04 08:38:44.117
613330722d05af4a71239542,file_course_datas,6133306ba5eee9a2beaee8f7_1630744690343.m3u8,6133306ba5eee9a2beaee8f7_1630744690247.m3u8,6133306ba5eee9a2beaee8f7,Success,Finished generate thumbnails,2021-09-04 08:38:10.355,2021-09-04 08:39:00.694,0,2021-09-04 08:38:10.344,2021-09-04 08:38:12.394,2021-09-04 08:39:00.685
613330b8ed2b4b3af27255a6,file_course_datas,613330b442ae9ca2ee5d58ac_1630744760956.m3u8,613330b442ae9ca2ee5d58ac_1630744760877.m3u8,613330b442ae9ca2ee5d58ac,Success,Finished generate thumbnails,2021-09-04 08:39:20.964,2021-09-04 08:39:54.579,0,2021-09-04 08:39:20.958,2021-09-04 08:39:22.421,2021-09-04 08:39:54.569
613330c1bb271bf82a556c76,file_course_datas,613330bdc8daac98c8486e78_1630744769730.m3u8,613330bdc8daac98c8486e78_1630744769647.m3u8,613330bdc8daac98c8486e78,Success,Finished generate thumbnails,2021-09-04 08:39:29.741,2021-09-04 08:39:59.370,0,2021-09-04 08:39:29.732,2021-09-04 08:39:30.765,2021-09-04 08:39:59.362
613330ccb666974a81fb7e55,file_course_datas,613330cab1f24742d5b2e745_1630744780834.m3u8,613330cab1f24742d5b2e745_1630744780725.m3u8,613330cab1f24742d5b2e745,Success,Finished generate thumbnails,2021-09-04 08:39:40.846,2021-09-04 08:40:08.161,0,2021-09-04 08:39:40.836,2021-09-04 08:39:41.701,2021-09-04 08:40:08.153
613330d23b70833adb74ade9,file_course_datas,613330cea4acb342f72e99a2_1630744786550.m3u8,613330cea4acb342f72e99a2_1630744786509.m3u8,613330cea4acb342f72e99a2,Success,Finished generate thumbnails,2021-09-04 08:39:46.553,2021-09-04 08:40:16.281,0,2021-09-04 08:39:46.551,2021-09-04 08:39:47.959,2021-09-04 08:40:16.272
6133310c5ea79df834a2770b,file_course_datas,613330fc5d7dd5a2b70481e0_1630744844878.m3u8,613330fc5d7dd5a2b70481e0_1630744844805.m3u8,613330fc5d7dd5a2b70481e0,Success,Finished generate thumbnails,2021-09-04 08:40:44.886,2021-09-04 08:41:03.612,0,2021-09-04 08:40:44.880,2021-09-04 08:40:46.977,2021-09-04 08:41:03.600
6133310ea047714a7b55ca07,file_course_datas,613330ff177046990b4c8ce2_1630744846479.m3u8,613330ff177046990b4c8ce2_1630744846377.m3u8,613330ff177046990b4c8ce2,Success,Finished generate thumbnails,2021-09-04 08:40:46.488,2021-09-04 08:41:22.293,0,2021-09-04 08:40:46.480,2021-09-04 08:40:48.470,2021-09-04 08:41:22.284
6133311a5eaf0c3ae9390332,file_course_datas,61333113afc69442bb848121_1630744858031.m3u8,61333113afc69442bb848121_1630744857972.m3u8,61333113afc69442bb848121,Success,Finished generate thumbnails,2021-09-04 08:40:58.038,2021-09-04 08:41:40.274,0,2021-09-04 08:40:58.032,2021-09-04 08:41:02.599,2021-09-04 08:41:40.266
61333167a74658f8248eb78f,file_course_datas,61333164eed6ba98c2521b67_1630744935319.m3u8,61333164eed6ba98c2521b67_1630744935243.m3u8,61333164eed6ba98c2521b67,Success,Finished generate thumbnails,2021-09-04 08:42:15.328,2021-09-04 08:42:38.485,0,2021-09-04 08:42:15.320,2021-09-04 08:42:18.274,2021-09-04 08:42:38.476
6133317cfde1b14a6b1eac02,file_course_datas,613331744b4fb1a2ad8e9383_1630744956586.m3u8,613331744b4fb1a2ad8e9383_1630744956508.m3u8,613331744b4fb1a2ad8e9383,Success,Finished generate thumbnails,2021-09-04 08:42:36.596,2021-09-04 08:43:36.738,0,2021-09-04 08:42:36.587,2021-09-04 08:42:39.194,2021-09-04 08:43:36.725
61333199d9ded13adc090310,file_course_datas,61333197a5eee9a2beaeede0_1630744985595.m3u8,61333197a5eee9a2beaeede0_1630744985502.m3u8,61333197a5eee9a2beaeede0,Success,Finished generate thumbnails,2021-09-04 08:43:05.603,2021-09-04 08:43:27.216,0,2021-09-04 08:43:05.597,2021-09-04 08:43:06.306,2021-09-04 08:43:27.208
613331a64afd74f83555803c,file_course_datas,6133319ddc2ad695b3e212ce_1630744998956.m3u8,6133319ddc2ad695b3e212ce_1630744998883.m3u8,6133319ddc2ad695b3e212ce,Success,Finished generate thumbnails,2021-09-04 08:43:18.966,2021-09-04 08:44:09.258,0,2021-09-04 08:43:18.957,2021-09-04 08:43:21.527,2021-09-04 08:44:09.247
613331d52d05af4a7123956c,file_course_datas,613331d3d8f31e42b5eb2562_1630745045955.m3u8,613331d3d8f31e42b5eb2562_1630745045877.m3u8,613331d3d8f31e42b5eb2562,Success,Finished generate thumbnails,2021-09-04 08:44:05.965,2021-09-04 08:44:29.918,0,2021-09-04 08:44:05.956,2021-09-04 08:44:06.673,2021-09-04 08:44:29.908
61333209ed2b4b3af27255d7,file_course_datas,613332088bac3842c88ff04e_1630745097693.m3u8,613332088bac3842c88ff04e_1630745097622.m3u8,613332088bac3842c88ff04e,Success,Finished generate thumbnails,2021-09-04 08:44:57.702,2021-09-04 08:45:13.900,0,2021-09-04 08:44:57.695,2021-09-04 08:44:58.171,2021-09-04 08:45:13.897
61333219bb271bf82a556ca0,file_course_datas,61333216d795ec98d02448af_1630745113572.m3u8,61333216d795ec98d02448af_1630745113536.m3u8,61333216d795ec98d02448af,Success,Finished generate thumbnails,2021-09-04 08:45:13.580,2021-09-04 08:45:35.476,0,2021-09-04 08:45:13.573,2021-09-04 08:45:14.375,2021-09-04 08:45:35.468
6133323db666974a81fb7e7f,file_course_datas,6133323b3715e898f0737a15_1630745149975.m3u8,6133323b3715e898f0737a15_1630745149892.m3u8,6133323b3715e898f0737a15,Success,Finished generate thumbnails,2021-09-04 08:45:49.988,2021-09-04 08:46:14.464,0,2021-09-04 08:45:49.976,2021-09-04 08:45:50.927,2021-09-04 08:46:14.456
