_id,status,sender_staffs,notification_type,message,receiver_students,announcements,__v,createdAt,updatedAt
60dae06202c9e67053c05d7b,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b734cdf97fe867c4068c08,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.128,2021-06-29 08:57:06.128
60dae06202c9e67053c05d93,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609cd1010cc1f1211953101c,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-07-05 03:09:41.384
60dae06202c9e67053c05d9c,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098d70301c156105d56a587,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-09-08 01:37:53.393
60dae06202c9e67053c05d5f,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60da9eca7c197c7027f2704d,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.125,2021-06-29 08:57:06.125
60dae06202c9e67053c05d65,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d5ae5ad06a4a20fac5de28,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d72,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d2de8e36216de3836f6e27,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d84,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60ab01eba52a74b3cf449304,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d85,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a6270ec46b4cb489c1062b,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d90,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609de1e958404120e038aea7,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05da1,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6097da08a3d06d13536860b5,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 08:57:06.132
