_id,bucket_name,filename,original_id,encoder,protocol,status,message,createdAt,updatedAt,__v
6133289ffa8f7eb3743fc7b8,file_course_datas,61331e1dc1ba18a2d63c1fa4_1630740004443.m3u8,61331e1dc1ba18a2d63c1fa4,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:04:47.245,2021-09-04 08:04:47.245,0
6133292c1e6f48c54311f7e0,file_course_datas,61331e4e7ec98e9cedfc6721_1630740055290.m3u8,61331e4e7ec98e9cedfc6721,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:07:08.259,2021-09-04 08:07:08.259,0
613329554721dbf2120e7005,file_course_datas,61331e7bee976398ea21cb86_1630740102300.m3u8,61331e7bee976398ea21cb86,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:07:49.841,2021-09-04 08:07:49.841,0
61332968f8566eda96d00766,file_course_datas,61332054747b8142c7cd6048_1630740566480.m3u8,61332054747b8142c7cd6048,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:08:08.189,2021-09-04 08:08:08.189,0
6133298c2e718fc5337f8bd7,file_course_datas,61331d7ac8daac98c848653f_1630739839330.m3u8,61331d7ac8daac98c848653f,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:08:44.454,2021-09-04 08:08:44.454,0
613329a7230b03a2a45c05d9,file_course_datas,61332967bd0aaa9cfb017719_1630742889516.m3u8,61332967bd0aaa9cfb017719,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-09-04 08:09:11.395,2021-09-04 08:09:11.395,0
613329ce2e718fc5337f8bdf,file_course_datas,613329a9ef0b8b9ce39b30eb_1630742955229.m3u8,613329a9ef0b8b9ce39b30eb,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-09-04 08:09:50.900,2021-09-04 08:09:50.900,0
613329f5423ae1d597760998,file_course_datas,6133209ca4acb342f72e91d6_1630740638447.m3u8,6133209ca4acb342f72e91d6,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:10:29.462,2021-09-04 08:10:29.462,0
61332a27fa8f7eb3743fd91b,file_course_datas,613320e942ae9ca2ee5d3d6c_1630740715436.m3u8,613320e942ae9ca2ee5d3d6c,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:11:19.763,2021-09-04 08:11:19.763,0
61332a3438f6cada8497196e,file_course_datas,613321772c558b9cddc9bcdd_1630740857606.m3u8,613321772c558b9cddc9bcdd,libx264,HLS_APPENDS,Success,Success encoding video,2021-09-04 08:11:32.739,2021-09-04 08:11:32.739,0
